folder,formula,ismetal,H-mass,e-mass,bandgap,bandgap_type,formation_energy_per_atom,ehull,ε∥ ,ε⊥ 
332,CuSe2Tl2,True,,,-1.9505,Indirect,-0.389559424,0.492859467,,
333,Dy2FS2,True,,,-0.5754,Indirect,-0.6746308475999999,2.075450617,,
334,Dy2Si2Ti,True,,,-1.2325,Indirect,0.8477759366000004,1.79475566,,
335,Er2I2O,True,,,-0.6037,Indirect,-1.20168404,1.211456267,,
336,F11SbXe,False,-26.853,-18.887,2.1975,Indirect,-1.2553512115384615,0.012746788,,
337,F12P4Pt,False,-25.728,-30.799,5.0171,Indirect,-2.2441347127058826,0.021024824,2.742106165,3.77048904
338,F2Kr,False,4.969,-13.125,3.0563,Direct,-0.0082733333333333,0.079594667,2.043803204,3.682858498
339,F2NP,False,-27.222,-129.575,5.4468,Indirect,-1.70335018225,0.027281875,,
340,F2O2Os,False,-109.102,-33.418,1.6024,Direct,-1.6364416000000002,0.2686076,,
341,F2O2Se,False,-36.091,10.408,3.1781,Indirect,-1.5201416733333335,0.243705642,,
342,F2O2Xe,False,0.784,23.796,2.0655,Indirect,0.0029045999999999,0.90066889,,
343,B2Cl2P,False,-16.474,3.215,3.7746,Indirect,-0.7401754510000004,0.326453453,,
344,F2O5S2,False,15.584,-23.191,5.8648,Indirect,-2.071532387555555,0.033245833,2.856144396,3.546515302
345,F2OS,False,-2.82,-8.128,5.2062,Direct,-1.8459327485,0.063576656,2.746488746,4.781191753
346,F2Xe,False,7.791,-14.249,3.0099,Indirect,-0.39300665,0.140636683,,
347,F3H2P,False,-12.723,-5.036,6.6678,Direct,-1.7477369048333335,0.046116083,3.197090577,3.128667729
348,F3I,False,-1.194,-10.611,2.5037,Indirect,-1.3103244375,0.132711795,,
349,B2Cl3N,False,-65.075,2.168,4.3304,Indirect,-1.2880141203888889,0.113942861,,
350,F3OSb,False,12.433,3.661,2.6685,Indirect,-2.12592288,0.117480837,,
351,F3OV,False,52.288,-323.137,4.1344,Indirect,-2.8221388800000007,-0.307522175,2.623103713,2.700562803
352,F3Xe,False,-13.507,-8.003,2.634,Indirect,-0.485624125,0.043393204,4.389899651,3.644176511
353,F4Ge,False,9.928,-4.411,5.4531,Indirect,-2.24361887,0.0555628,3.001059777,2.695786039
354,F4HP,False,6.045,-11.479,7.5579,Indirect,-2.1428365298333336,0.020238083,2.571213026,2.691036871
355,F4Mn,True,,,0.0701,Indirect,-1.70112089,0.36999885,,
356,F4N2Si,True,,,0.3539,Indirect,-0.0254454071428565,2.22420825,,
357,F4O2Os,False,-3.293,138.785,2.0131,Indirect,-1.733387257142857,0.03347522,,
358,F4O3P2,False,5.277,-4.745,5.8744,Direct,-2.7560750286666664,0.021239407,3.157987458,3.232668178
359,F4ORu,False,14.044,-50.645,0.9435,Direct,-1.691564325,-0.067816757,,
360,F4OW,False,97.776,-19.847,2.9686,Indirect,-2.9596961166666667,0.037050583,,
361,F4SW,False,69.009,-26.202,3.3198,Direct,-2.311338824,0.0748165,4.127880494,11.31955882
362,B2H3,False,2.288,-10.162,2.8766,Direct,-0.7203085800000004,0.061843205,2.959711272,2.951240648
363,F4Se,False,-2.299,-61.358,4.5503,Indirect,-1.73219786,0.0539346,10.57014255,3.213722628
364,F4Si,False,-2.433,-201.913,8.195,Indirect,-3.12063207,0.0354483,2.24340065,2.23278703
365,F4V,False,6.718,-2.262,0.2781,Indirect,-2.68967204,0.0630227,,
366,F5Mo,True,,,-0.0173,Indirect,-2.419496833333333,-0.040610764,,
367,F5Nb,False,27.34,-18.64,4.9869,Indirect,-3.174007666666667,0.01721925,,
368,F5O2Sb3,False,-9.545,4.689,3.4049,Indirect,-2.276319075,0.100313,,
369,F5OOs,True,,,2.1839,Indirect,-1.680248014285714,0.046424107,,
370,F5Os,False,17.622,62.041,0.0596,Indirect,-1.5638222916666666,0.023429583,,
371,F5P,False,11.658,-13.712,7.4457,Direct,-2.509850738166667,0.023876333,2.463182387,2.444507245
372,B2H5,False,-10.807,-12.381,6.3132,Indirect,-0.7215277785714288,0.022731786,2.363035969,2.218367786
373,F5Pt,True,,,-0.1591,Indirect,-1.1249165791666669,-0.013123346,,
374,F5Ru,True,,,-0.0285,Indirect,-1.564960875,-0.003399125,,
375,F5Ta,False,16.981,64.264,5.6793,Indirect,-3.1952201388333337,0.017539583,3.815384655,3.293715319
376,F5V,False,18.902,-25.453,3.0902,Direct,-2.6642228500000003,0.017760792,2.9266457,3.145719191
377,F6I2O3,False,86.143,-54.81,2.2212,Direct,-1.400065868181818,0.149460898,,
378,F6Ir,True,,,-0.0667,Indirect,-1.3388642,0.047153821,,
379,Al2NNb3,,,,,Direct,2.4308725916666667,3.356868,,
380,F6Pt,True,,,-0.2284,Indirect,-0.9942515,-0.011617629,,
381,F6Re,True,,,3.8431,Indirect,-2.0111704142857145,0.035344429,1.005598612,1.005132721
382,F6Rh,True,,,-0.0819,Indirect,-1.2273422071428572,-0.014744024,,
383,B3H10N,False,199.891,-4.479,5.7562,Indirect,-0.7985815392857144,0.062561334,4.784257919,6.95010588
384,F6S,False,68.591,-40.686,6.2647,Direct,-1.6758977134285715,0.023324786,1.918198274,1.990228546
385,F6Tc,True,,,3.003,Direct,-1.911761807142857,-0.583545763,1.003564762,1.002943421
386,F6Te,False,43.314,-16.437,4.5656,Indirect,-1.953639325,0.004894786,2.76584881,3.006421013
387,F6U,False,10.968,20.963,2.7958,Indirect,-3.3110051285714284,0.037197,3.419307604,3.469844452
388,F6W,False,-9381.425,-8.908,5.3163,Direct,-2.7840442,0.034012571,3.280876782,3.765370854
389,B3H5N3,False,1.962,-4.373,4.4043,Indirect,-1.1034993000000002,0.109038265,,
390,F7I,False,-98506.933,74.001,1.74,Indirect,-1.26947385625,0.022006812,,
391,F7RuXe,True,,,0.0251,Indirect,-1.204193977777778,0.039375133,,
392,FH3Si,False,-108.649,-7.834,6.3378,Indirect,-1.1926221200000005,0.03488855,3.29525682,2.534403733
393,FHO,False,12.674,109.762,3.3453,Indirect,-1.1007888833333332,0.636581875,,
394,FI2Sm2,True,,,-0.6661,Indirect,-1.0326084,0.916940803,,
395,FI2Tm2,True,,,-0.6564,Indirect,-1.0612347399999995,0.860485093,,
396,FI2Yb2,True,,,-0.6867,Indirect,-1.06109194,0.619462827,,
397,FN5S4,False,-4.934,23.141,2.4769,Indirect,0.4427179973999998,0.636146828,,
398,FNO,False,76.414,19.234,3.2788,Indirect,-0.8695804166666671,0.055688,,
399,FNS,False,-1355.132,-4.625,4.0185,Direct,-0.269179692444444,0.400205399,,
400,FNd2Se2,True,,,-1.1163,Indirect,-0.92387715,1.807361983,,
401,FOSb,False,1.269,7.862,2.841,Indirect,-2.264707658333333,0.100616125,,
402,FPr2Se2,True,,,-1.2192,Indirect,-0.95210794,1.8242355,,
403,FS2Tb2,True,,,-0.6849,Indirect,-0.6575036844,2.089155867,,
404,B3H7N,True,,,0.843,Indirect,-0.4209455999999999,0.500718714,,
405,Ga2I8Pd,False,2.613,3.308,1.0399,Indirect,-0.380919397090909,0.077556918,,
406,GaI3,False,-30.991,-1.218,2.1429,Indirect,-0.4150637085000001,0.09693765,,
407,Ge2Ho2Ti,True,,,-1.1749,Indirect,0.7040956466000001,1.658112413,,
408,Ge2I2S3,False,-2.145,1.514,2.1501,Indirect,-0.2939282688571428,0.057488679,,
409,Ge2Nd2Ti,True,,,-1.0316,Indirect,0.7146530766000001,1.63040755,,
410,Ge2Pr2Ti,True,,,-1.0895,Indirect,0.6794018866000002,1.63437915,,
411,Ge2S5,False,1.908,-26.982,1.8698,Indirect,-0.2164140314285713,0.09830475,,
412,Ge2Sm2Ti,True,,,-1.0686,Indirect,0.7050999065999999,1.634268714,,
413,Ge2Tb2Ti,True,,,-1.1561,Indirect,0.6988356998000004,1.6439952,,
414,Ge2TiTm2,True,,,-1.1884,Indirect,0.7022792466000002,1.64871374,,
415,GeI4,False,18.553,-7.338,1.6489,Indirect,-0.18414807,0.14840752,,
416,GeSb2Zr2,True,,,-1.7257,Indirect,0.5085969768000005,1.2530999,,
417,GeSe3Tl2,False,3.85,0.271,1.4097,Indirect,-0.4846146116666669,0.140115917,,
418,H2LiO2,True,,,-1.227,Indirect,-1.472718575,0.653654612,,
419,B4H16Hf,False,-2.723,-1.253,5.6114,Direct,-0.8201999666666671,0.015668524,3.247388346,3.284022456
420,H2O4Pb3,False,76.057,-2.705,2.7819,Direct,-1.863177766666667,0.0834775,8.228956582,5.545064174
421,H2O4S,False,9.377,15.204,6.4248,Indirect,-2.111861256285714,0.042364214,4.46157688,3.800445279
422,H2O4Sn3,False,-59.783,-5.434,2.4746,Indirect,-2.003990611111111,0.085879204,,
423,H2OSi,True,,,-0.0177,Indirect,-1.1318891624999998,0.684497813,,
424,H2O,False,-6.527,-6.394,4.6237,Direct,-1.7959311333333334,0.157223611,,
425,H2S3Si2,False,-4.559,2.337,3.297,Indirect,-0.6626617974285713,0.063043571,3.742675156,3.268308486
426,H2S,False,21.45,-80.335,4.1314,Indirect,-0.5253637980000002,0.072650167,,
427,B4H16Zr,False,-3.884,1.477,5.2065,Indirect,-0.8294168634761899,0.013674524,3.219602109,3.295279298
428,H3N,False,-3.572,-83148.044,3.4957,Direct,-0.7751307375000005,0.062335312,,
429,H3O3P,False,-13.476,6.162,5.4913,Indirect,-2.1443702874761903,0.087031481,,
430,H4N3P,False,-6.001,14.213,3.7582,Indirect,-0.687990951541666,0.041807187,,
431,H4N,True,,,9.7988,Indirect,-0.4170282700000001,0.38169889,,
432,H4O8V3,True,,,-0.1359,Indirect,-2.4308661800000007,0.416039228,,
433,H4O9Re2,False,10.693,11.94,3.434,Indirect,-2.320536933333333,0.015642361,5.380896831,7.9688299
434,B4N2O11,False,21.827,-14.423,1.8965,Indirect,-2.3480847352941177,0.28049588,,
435,H6O6Te,False,-3.971,-7.893,3.3027,Direct,-1.9021529134615385,0.0771425,,
436,H6OSi2,False,4.675,-20.46,5.2532,Indirect,-1.0838994444444443,0.042784028,2.907887583,2.501985596
437,H8N10Zn,False,5.767,-4.812,3.9217,Indirect,-0.2309747605263158,0.232913623,,
438,H9NSi3,False,12.229,40.09,4.2366,Indirect,-0.649223873076923,0.028890769,2.960757307,2.988721956
439,HIO3,False,-3.781,-2.375,2.4847,Direct,-1.3809099999999996,0.163267958,,
440,HNO,False,5.199,1.193,3.2316,Indirect,-0.7677909166666664,0.515524772,,
441,HNS3,False,18.446,-4.558,3.0661,Indirect,-0.0198695364000002,0.21436445,,
442,HNS7,False,-1.141,-6.982,2.8635,Direct,0.0161228824444445,0.145035917,,
443,HNS8,False,-3.328,-5.127,2.4654,Indirect,0.0510216847999998,0.1667696,,
444,HNS9,False,2.26,0.732,2.3147,Indirect,0.0484543412727272,0.153430795,,
445,HNS,False,9.004,145.958,3.3078,Indirect,-0.0836680813333329,0.308547333,,
446,Hf2S2Si,True,,,-1.2739,Indirect,0.3472932124000003,1.7464081,,
447,Hf2SiTe2,True,,,-1.2145,Indirect,0.3362287000000009,1.2502598,,
448,HgI2,False,0.859,-111.181,1.6897,Indirect,-0.1938129666666666,0.036006356,,
449,I2La2O,True,,,-0.3844,Indirect,-1.17569974,1.28267571,,
450,I2Lu2O,True,,,-0.6592,Indirect,-1.2281415000000002,1.17452592,,
451,I2N2S,False,1.921,-1.255,1.4325,Direct,0.7183553612000004,0.74261516,,
452,I2NTh2,True,,,-0.6108,Indirect,-0.22876173,1.3184375,,
453,AlB3H12,False,8.354,-25.434,6.2886,Indirect,-0.7162585750000003,0.017867969,3.14997919,3.720250847
454,I2NU2,True,,,-0.2446,Indirect,0.3049102300000001,1.5020243,,
455,B5F6,False,13.715,-16.566,3.3007,Indirect,-2.157124263636364,0.189493591,,
456,I2OPr2,True,,,-1.2042,Indirect,-1.14136922,1.293474688,,
457,I2OSm2,True,,,-1.3441,Indirect,-1.121823,1.282007768,,
458,I2OTm2,True,,,-0.6233,Indirect,-1.21565246,1.188707787,,
459,I2OYb2,True,,,-0.6384,Indirect,-1.2209691799999998,0.992333533,,
460,I2P4S3,False,-2.128,5.431,2.0277,Indirect,-0.0640551219999999,0.088451278,,
461,I2P4Se3,False,4.187,-3.229,1.8959,Indirect,-0.1395186295555556,0.088633806,,
462,I2STl2,True,,,-0.3531,Indirect,0.2675813572,0.80923107,,
463,B5H11,False,4.179,6.802,4.6374,Indirect,-0.7052188843749998,0.047921669,2.787478816,2.609136755
464,I2Si,,,,,Direct,-0.32228865,0.107165683,,
465,I3In,False,2.211,-0.881,2.108,Indirect,-0.4302361895000001,0.116169606,,
466,I3Sb,False,4.26,-1.275,1.5836,Indirect,-0.2592955583333334,0.151624442,,
467,I3Si,False,1.9,-1.503,2.6319,Direct,-0.36449105,0.082913113,5.068591498,4.450692081
468,I4O2Pt,True,,,-0.6851,Indirect,-0.2273539857142857,0.508246243,,
469,I4Si,False,-1.852,-6.136,2.6119,Indirect,-0.2994780899999999,0.13518834,,
470,I4Sn,False,4.934,-16.075,1.7736,Direct,-0.24234432,0.120973715,,
471,I4Ta,False,3.806,3.778,0.7702,Indirect,-0.4433977066,0.084164106,,
472,I5Nb,False,0.968,-137.392,0.7555,Indirect,-0.4800302916666667,0.089101646,,
473,I5Ta,False,-2.423,-0.634,1.054,Direct,-0.4468655138333335,0.078672958,,
474,B5H4N2,False,-45.717,-59.369,2.8071,Direct,-0.5869584181818187,0.544856327,,
475,B5H4,,,,,Direct,-0.4073079,0.374732778,,
476,IP3Se4,False,-3.049,-9.057,1.5517,Indirect,-0.156547829625,0.128670006,,
477,LiMnO,False,-154049.741,19289.033,0.0563,Indirect,0.438004458333333,2.381964351,,
478,Mn2O7,False,20.674,3.736,1.7942,Indirect,-2.06499535925926,-0.172666581,,
479,B5H7,False,2.737,-6.28,3.5881,Direct,-0.7638974208333339,0.023780312,2.92951048,3.193013426
480,MnNd2Si2,True,,,-1.0299,Indirect,1.1959546199999995,1.952984808,,
481,MnO2,False,-6809.711,8568.556,0.1634,Direct,-0.7201748833333333,1.599441533,,
482,MnO4,True,,,-0.1576,Indirect,-1.7481234500000002,0.0587478,,
483,MnPr2Si2,True,,,-0.91,Indirect,1.16904807,1.958999348,,
484,MnSi2Sm2,True,,,-1.184,Indirect,1.1553712300000003,1.938268588,,
485,MoO2,True,,,-0.3913,Indirect,-1.1253244000000002,1.97548725,,
486,N18W,False,2.089,4.941,1.9811,Indirect,0.5182940789473678,0.62849378,,
487,B5H8,False,-13.581,-4.979,4.4174,Direct,-0.710286861538462,0.066764047,2.795651318,3.103826511
488,N2O2S3,False,-4.085,1.416,1.312,Indirect,-0.5479814259999998,0.312032179,,
489,N2O5S3,False,7.502,14.3,2.694,Indirect,-1.1723374782,0.338842437,,
490,N2O8Pd,False,14.539,0.964,0.2397,Indirect,-0.9677842681818182,0.361632705,,
491,N2OS2,False,8.37,-9.73,1.7703,Indirect,-0.1537256575999997,0.444727425,,
492,N2O,False,16.047,-14.231,5.9637,Direct,-0.3597483666666659,0.217759688,,
493,N2PbS2,False,3.419,-7.695,1.3039,Indirect,0.4037734324000006,0.64300391,,
494,N2PdS6,False,-3.968,-2.088,1.0728,Direct,0.1956549762222224,0.307314833,,
495,N2S3Te,False,3.479,-2.906,0.8586,Indirect,0.517615807166667,0.524408789,,
496,N3O10V,False,12.78,-28.473,3.0169,Indirect,-1.7482638821428569,0.032589464,3.30320474,2.745667031
497,B5H9,False,17.707,-4.437,5.6741,Indirect,-0.7187422750000003,0.049199927,2.701986943,2.812683047
498,N3S4Sb,True,,,-0.1088,Indirect,0.6354823780000003,0.734370422,,
499,N3S5,True,,,0.7053,Direct,0.5346450975000003,0.526778828,,
500,N4O12Sn,False,19.683,-28.703,3.7679,Indirect,-1.4628106058823525,0.024488735,,
501,N4O3S5,False,-10.279,-2.89,1.7545,Indirect,-0.3711454391666666,0.379884615,,
502,N4O6Pt,False,129.128,-11151.352,1.1266,Direct,-0.2629550636363637,0.81261075,,
503,N4PtS4,False,3.213,94.045,0.8283,Indirect,0.4811076693333334,0.607286022,,
504,N6O8S7,False,8.175,-10.857,0.3753,Indirect,-0.7701509979999993,0.378748905,,
505,N6S5,False,-6.059,-26.73,2.2524,Indirect,0.6730696390909098,0.662872409,,
506,N9PS,False,14.1,22.063,3.2579,Indirect,0.5160639751818185,0.587261212,,
507,N9Sb,False,-40.034,-1.652,2.614,Direct,0.6025844900000003,0.592457013,,
508,NO2,False,31.424,-4.644,2.2228,Direct,-1.1204309277777773,0.050998306,,
509,NOS2,False,4.785,2.661,1.704,Indirect,-0.4469871344999996,0.3051825,,
510,NS2,False,-48.332,-5.008,1.6147,Indirect,0.4671611873333336,0.459864708,,
511,NS3,False,-1.635,0.563,1.501,Indirect,0.3939296795000002,0.387772781,,
512,NS7,True,,,1.0391,Direct,0.2898507614999999,0.285403234,,
513,NS,False,-19.167,22.493,2.1197,Indirect,0.5822277655000008,0.572652125,,
514,NSe,False,62.62,-7.944,1.8646,Indirect,0.6905464833333337,0.85472849,,
515,B6CrH16,False,-4.173,-3.132,2.1915,Direct,-0.6963505891304347,0.061774525,,
516,O2P,False,-7.981,-7.58,4.6056,Direct,-2.7174704596666666,0.086221709,,
517,O2S,False,8.292,-3.007,2.9894,Direct,-1.9162860980000005,0.103179833,,
518,O2Sb,True,,,0.6472,Direct,-0.5504185833333333,1.89447085,,
519,O2SiZr2,True,,,-0.7254,Indirect,-0.7730169231999995,2.45958265,,
520,O2Sn,False,-13.358,-1.858,2.4456,Direct,-0.7688321333333334,2.01085005,,
521,O2Ti,True,,,0.2193,Direct,-1.220389622333333,2.8997395,,
522,O2V,True,,,0.0173,Indirect,-1.2248364333333337,2.21790275,,
523,O3P2S2,False,2.875,-4.829,4.1821,Direct,-1.8067883351428573,0.054544457,3.978520518,4.31152995
524,O3P2Se,False,58.638,-17.669,3.4252,Indirect,-2.065292976333333,0.128763633,,
525,O3P2,False,5.619,-17.192,3.7836,Indirect,-2.3832304316,0.140091401,,
526,O3P4S6,False,3.697,-2.885,3.1488,Direct,-1.017220852307692,0.064058077,3.891081301,2.89296386
527,O3Rh,True,,,-0.3974,Indirect,-1.1134190875,0.898687656,,
528,O3S,False,12.854,-12.428,5.4307,Direct,-2.0953608068333334,0.036756042,2.852150289,3.05109671
529,O3Sb2,False,32.624,6.923,2.9089,Indirect,-2.2003411500000003,0.0907932,14.43856543,9.398914792
530,O3Se,False,-31.742,-72.138,2.4611,Indirect,-1.4986112499999995,0.243183531,,
531,O4Os,False,-38.083,11.249,3.2909,Indirect,-1.99635788,0.0701518,2.961734194,3.337657233
532,O4Ru,False,16.951,-9.184,2.8723,Direct,-1.81680568,0.08867265,2.615607144,2.785409486
533,O4S2Sn,False,-4.484,-6.547,2.4318,Indirect,-1.890219812571429,0.17741908,,
534,O4Sr,True,,,0.2611,Direct,-1.3234544,1.11137085,,
535,O5P2,False,59.662,-4880.31,5.4754,Indirect,-2.915511015428571,0.088445679,,
536,Ac2Cl2O,True,,,-0.3384,Indirect,-1.7244116351999998,1.29139462,,
537,O6P4S3,False,6.285,1.639,4.1557,Indirect,-1.923366046,0.079689769,3.524605144,3.714291704
538,O6P4S,False,9.472,-3.381,3.7279,Direct,-2.216066128181818,0.10708875,,
539,O6P4Se3,False,4.974,-42.642,3.4586,Indirect,-1.921217801230769,0.140911431,,
540,B9H11N4,False,117.836,-438.846,3.0452,Indirect,-0.6500882312500001,0.450958066,,
541,O6P4Se,False,3.404,4.052,3.0497,Indirect,-2.2041445469090912,0.141140114,,
542,O6Te,True,,,-0.2608,Indirect,-0.5956544250000003,1.158732875,,
543,O7P4S,False,-19.307,3.986,4.1724,Indirect,-2.4099065008333334,0.069586562,3.886075823,4.141150864
544,O7P4Se,False,8.753,3.836,3.696,Indirect,-2.406670884666667,0.093635375,3.883865746,4.549037827
545,O7P4,False,3.536,10.899,4.1251,Indirect,-2.580521507515152,0.095729599,4.591659681,3.20746675
546,O7Re2,False,2.597,-4.834,2.7507,Direct,-2.497696911111112,0.093832083,6.941064523,4.302252417
547,O7Tc2,False,4.032,-11.949,2.7782,Indirect,-2.412437188888889,0.039852222,4.435131462,3.753189389
548,OS8,False,4.606,6.392,2.3645,Indirect,-0.2210259002222222,0.113269958,,
549,OSe2U2,True,,,-0.5745,Indirect,-0.9714446000000002,1.377354787,,
550,BBr3,False,3.299,2.936,3.757,Indirect,-0.960307635,0.094476875,2.478476092,2.588713259
551,OSn2,True,,,-1.4865,Indirect,-0.9228900333333336,0.51625795,,
